id_cliente,nome,email,regiao,idade,hora_da_ingestao
10001079389,Gabriela Tavares,gabriela.tavares+9389@yahoo.com,SUL,71,2025-11-25T18:27:57.414Z
10008163460,Beatriz Rangel,beatriz.rangel+3460@mail.com,SUDESTE,52,2025-11-25T18:27:57.414Z
10011999387,Clara Toledo,clara.toledo+9387@bol.com.br,SUDESTE,58,2025-11-25T18:27:57.414Z
10021976563,José Brito,jose.brito+6563@mail.com,SUDESTE,40,2025-11-25T18:27:57.414Z
10027136369,Paula Antunes,paula.antunes+6369@uol.com.br,NORDESTE,30,2025-11-25T18:27:57.414Z
10032607631,Amanda Gomes,amanda.gomes+7631@uol.com.br,CENTRO-OESTE,23,2025-11-25T18:27:57.414Z
10035025665,Felipe Bonfim,felipe.bonfim+5665@bol.com.br,NORDESTE,47,2025-11-25T18:27:57.414Z
10035262931,Matheus Tavares,matheus.tavares+2931@uol.com.br,SUDESTE,19,2025-11-25T18:27:57.414Z
10042563331,Elisa Ribeiro,elisa.ribeiro+3331@mail.com,NORDESTE,30,2025-11-25T18:27:57.414Z
10047431702,Tatiana Pires,tatiana.pires+1702@yahoo.com,NORTE,51,2025-11-25T18:27:57.414Z
10052671950,Débora Peixoto,debora.peixoto+1950@yahoo.com,SUL,22,2025-11-25T18:27:57.414Z
10055171880,Beatriz Santana,beatriz.santana+1880@hotmail.com,SUDESTE,21,2025-11-25T18:27:57.414Z
10075317147,Fernando Aguiar,fernando.aguiar+7147@proton.me,SUDESTE,18,2025-11-25T18:27:57.414Z
10075572626,Elis Freitas,elis.freitas+2626@proton.me,NORDESTE,29,2025-11-25T18:27:57.414Z
10075838581,Renato Moraes,renato.moraes+8581@live.com,SUL,37,2025-11-25T18:27:57.414Z
10077676402,Heitor Rezende,heitor.rezende+6402@outlook.com,SUDESTE,29,2025-11-25T18:27:57.414Z
10082503356,Bianca Souza,bianca.souza+3356@outlook.com,NORDESTE,51,2025-11-25T18:27:57.414Z
10088885069,Vinícius Coelho,vinicius.coelho+5069@outlook.com,SUDESTE,67,2025-11-25T18:27:57.414Z
10091613918,Júlia Santos,julia.santos+3918@icloud.com,SUDESTE,39,2025-11-25T18:27:57.414Z
10096377870,André Freitas,andre.freitas+7870@bol.com.br,SUDESTE,49,2025-11-25T18:27:57.414Z
10100115772,Bruno Ribeiro,bruno.ribeiro+5772@mail.com,NORDESTE,28,2025-11-25T18:27:57.414Z
10111688284,Vitória Xavier,vitoria.xavier+8284@outlook.com,SUDESTE,49,2025-11-25T18:27:57.414Z
10111923439,Flávia Pires,flavia.pires+3439@outlook.com,SUDESTE,28,2025-11-25T18:27:57.414Z
10114800395,Adriana Novaes,adriana.novaes+0395@uol.com.br,SUL,30,2025-11-25T18:27:57.414Z
10122854056,Camila Rocha,camila.rocha+4056@uol.com.br,SUDESTE,59,2025-11-25T18:27:57.414Z
10134395078,Joana Guimarães,joana.guimaraes+5078@hotmail.com,SUL,49,2025-11-25T18:27:57.414Z
10135357340,Estela Andrade,estela.andrade+7340@outlook.com,NORTE,29,2025-11-25T18:27:57.414Z
10138997702,Clara Tavares,clara.tavares+7702@gmail.com,SUL,50,2025-11-25T18:27:57.414Z
10139102305,Vitória Bonfim,vitoria.bonfim+2305@bol.com.br,NORDESTE,41,2025-11-25T18:27:57.414Z
10141774806,Simone Ribeiro,simone.ribeiro+4806@mail.com,SUDESTE,29,2025-11-25T18:27:57.414Z
