id_cliente,nome_cliente,regiao_cliente,idade_cliente,faixa_etaria,qtde_atendimentos,tempo_medio_espera_seg,tempo_medio_atendimento_seg,nota_media_satisfacao,taxa_resolucao,custo_total,custo_medio_por_chamado
20376879203,Jonathan Novaes,NORDESTE,51,Adulto,1,0.0,96.0,3.0,0.00000,0.00774676,0.007746760000
25563935597,Fabiana Aguiar,SUDESTE,29,Jovem,2,294.5,1356.5,3.5,0.50000,1.65236219,0.826181095000
26043736982,Vinícius Fernandes,SUDESTE,57,Adulto,1,0.0,754.0,3.0,0.00000,0.03506159,0.035061590000
33732693050,Alessandra Araújo,SUL,49,Adulto,1,0.0,378.0,4.0,1.00000,0.04621236,0.046212360000
35439195962,Carla Reis,SUDESTE,40,Adulto,4,304.0,2921.75,3.25,0.25000,7.27095554,1.817738885000
36208404265,Sofia Barbosa,SUDESTE,38,Adulto,1,0.0,305.0,3.0,0.00000,0.03492115,0.034921150000
39763552990,Beatriz Barros,SUDESTE,31,Adulto,1,0.0,241.0,4.0,1.00000,0.02681287,0.026812870000
43123093364,Isabela Santos,SUL,49,Adulto,1,0.0,158.0,2.0,0.00000,0.02342202,0.023422020000
43429687779,Elisa Souza,SUDESTE,30,Adulto,2,20.0,979.0,,0.00000,0.53630550,0.268152750000
51915210516,Alice Silva,SUDESTE,29,Jovem,1,0.0,365.0,3.0,1.00000,0.05403458,0.054034580000
63989521365,Sofia Martins,CENTRO-OESTE,39,Adulto,1,0.0,60.0,2.0,1.00000,0.00280652,0.002806520000
69644330307,Evelin Martins,SUL,37,Adulto,1,0.0,591.0,3.0,0.00000,0.08110062,0.081100620000
70167059219,Júlia Brito,SUDESTE,28,Jovem,1,0.0,501.0,3.0,0.00000,0.06308175,0.063081750000
84633655731,Adriana Pires,NORDESTE,40,Adulto,1,0.0,449.0,2.0,0.00000,0.00393399,0.003933990000
88108476636,Gabriela Albuquerque,SUDESTE,71,Idoso,1,0.0,260.0,4.0,1.00000,0.04111719,0.041117190000
90344137165,Bárbara Cardoso,NORDESTE,31,Adulto,2,65.0,617.0,3.0,0.50000,0.24321912,0.121609560000
91194511510,Diogo Macedo,SUDESTE,40,Adulto,1,0.0,605.0,2.0,0.00000,0.00633633,0.006336330000
96631902223,Eduarda Maia,CENTRO-OESTE,60,Adulto,1,0.0,737.0,,0.00000,0.00507522,0.005075220000
12766665696,Arthur Paiva,SUDESTE,33,Adulto,1,0.0,68.0,2.0,1.00000,0.00021821,0.000218210000
14514429400,Estela Novaes,SUDESTE,33,Adulto,1,0.0,663.0,2.0,0.00000,0.01127450,0.011274500000
17149326565,Vinícius Reis,NORTE,29,Jovem,2,217.5,1866.5,3.5,0.00000,0.63447877,0.317239385000
22208828118,Caíque Novaes,NORTE,33,Adulto,2,245.0,1360.5,2.5,0.50000,0.28418506,0.142092530000
24939321455,Adriana Pontes,SUDESTE,29,Jovem,1,0.0,477.0,3.0,0.00000,0.07014425,0.070144250000
25013829707,Felipe Barreto,SUDESTE,36,Adulto,1,0.0,119.0,2.0,0.00000,0.01700524,0.017005240000
29160262232,Heitor Santos,NORDESTE,30,Adulto,1,0.0,384.0,3.0,0.00000,0.06712856,0.067128560000
31166095855,Beatriz Andrade,NORTE,26,Jovem,2,170.0,559.0,2.5,0.00000,0.31621522,0.158107610000
35058975428,Arthur Correia,SUDESTE,28,Jovem,1,0.0,314.0,2.0,1.00000,0.00528559,0.005285590000
36344883338,Augusto Silva,CENTRO-OESTE,27,Jovem,2,88.5,847.5,3.5,0.50000,0.77421023,0.387105115000
38734801382,Natalia Bezerra,SUDESTE,62,Idoso,3,295.0,1475.3333333333333,3.0,0.00000,1.08360125,0.361200416667
48592324169,Amanda Siqueira,SUDESTE,23,Jovem,3,462.3333333333333,1300.3333333333333,3.0,0.33333,1.07775936,0.359253120000
55182106334,Isabela Santana,NORTE,38,Adulto,1,0.0,401.0,5.0,0.00000,0.07963150,0.079631500000
55812300314,Alessandra Ribeiro,SUDESTE,57,Adulto,1,0.0,1046.0,2.0,0.00000,0.19140176,0.191401760000
55848210854,Matheus Antunes,NORDESTE,77,Idoso,6,570.0,2319.6666666666665,3.3333333333333335,0.66667,7.54982333,1.258303888333
59363650619,Cecília Prado,SUL,41,Adulto,1,0.0,81.0,2.0,1.00000,0.00875627,0.008756270000
60000518395,Igor Cardoso,SUDESTE,27,Jovem,1,0.0,62.0,2.0,1.00000,0.00104396,0.001043960000
67928809966,Igor Santana,SUDESTE,38,Adulto,5,569.4,3035.0,3.0,0.60000,8.82940096,1.765880192000
69529311853,Igor Toledo,NORDESTE,20,Jovem,1,0.0,917.0,5.0,0.00000,0.10358632,0.103586320000
70713589474,Elisa Silveira,CENTRO-OESTE,50,Adulto,2,167.0,1074.5,3.0,0.00000,1.17257493,0.586287465000
72833619570,Daniela Monteiro,SUDESTE,26,Jovem,1,0.0,200.0,3.0,1.00000,0.03473688,0.034736880000
81745025415,Bianca Cavalcante,SUDESTE,70,Idoso,5,619.8,2838.6,3.4,0.60000,6.86330824,1.372661648000
89918097669,Vinícius Queiroz,SUDESTE,37,Adulto,1,0.0,572.0,5.0,1.00000,0.08891460,0.088914600000
91618486300,Alice Cavalcante,NORTE,29,Jovem,8,565.25,1764.5,3.0,0.50000,7.00616860,0.875771075000
11616696933,Joana Maia,SUDESTE,40,Adulto,1,0.0,362.0,3.0,1.00000,0.05411607,0.054116070000
12061175792,Felipe Rodrigues,SUDESTE,31,Adulto,1,0.0,390.0,3.0,1.00000,0.00887645,0.008876450000
20651900818,Estela Pinheiro,NORDESTE,27,Jovem,1,0.0,303.0,3.0,0.00000,0.04813984,0.048139840000
20711893480,Breno Correia,NORDESTE,60,Adulto,1,0.0,60.0,4.0,0.00000,0.00898250,0.008982500000
46277906074,Evelin Monteiro,SUDESTE,52,Adulto,1,0.0,468.0,5.0,1.00000,0.05744274,0.057442740000
54057833466,Isabela Cardoso,NORTE,47,Adulto,1,0.0,700.0,2.0,0.00000,0.09979788,0.099797880000
56063993795,Sofia Paiva,SUL,30,Adulto,1,0.0,1150.0,3.0,1.00000,0.04091755,0.040917550000
58963437921,Henrique Azevedo,SUL,28,Jovem,1,0.0,414.0,2.0,1.00000,0.05253960,0.052539600000
59414799381,Patrícia Queiroz,NORDESTE,48,Adulto,2,209.0,1144.5,3.5,0.00000,0.98411768,0.492058840000
69671719844,Karina Lima,SUDESTE,38,Adulto,1,0.0,525.0,2.0,0.00000,0.09084652,0.090846520000
78121565645,Alessandra Pontes,SUDESTE,20,Jovem,1,0.0,409.0,2.0,1.00000,0.04478778,0.044787780000
81722242157,Gustavo Brito,CENTRO-OESTE,32,Adulto,1,0.0,797.0,3.0,0.00000,0.01178695,0.011786950000
96817695962,Caio Rangel,SUDESTE,27,Jovem,1,0.0,89.0,,1.00000,0.00768590,0.007685900000
15464308921,Elis Assis,SUL,31,Adulto,1,0.0,304.0,2.0,1.00000,0.01033447,0.010334470000
20383024294,Elis Batista,NORDESTE,38,Adulto,1,0.0,359.0,3.0,0.00000,0.06734329,0.067343290000
27101121113,Thiago Aguiar,SUDESTE,53,Adulto,1,0.0,419.0,4.0,0.00000,0.06716652,0.067166520000
37747590602,Matheus Antunes,SUL,59,Adulto,1,0.0,337.0,2.0,1.00000,0.02721489,0.027214890000
46878511186,Larissa Coelho,SUDESTE,60,Adulto,8,617.875,2552.125,3.25,0.62500,7.16040747,0.895050933750
53907281302,Elaine Costa,SUDESTE,37,Adulto,1,0.0,194.0,3.0,0.00000,0.00630719,0.006307190000
55944468081,Amanda Dutra,SUDESTE,25,Jovem,6,307.1666666666667,1054.1666666666667,3.0,0.33333,2.73164452,0.455274086667
60388857553,Diogo Rodrigues,NORDESTE,57,Adulto,1,0.0,417.0,3.0,0.00000,0.03411079,0.034110790000
62290117752,Vinícius Tavares,SUL,76,Idoso,1,0.0,209.0,2.0,0.00000,0.01266307,0.012663070000
69340939002,Helena Silveira,NORDESTE,40,Adulto,3,70.66666666666667,799.6666666666666,3.3333333333333335,0.33333,1.34494671,0.448315570000
76918343263,Bruno Bonfim,SUDESTE,40,Adulto,1,0.0,153.0,3.0,0.00000,0.00706212,0.007062120000
84572999513,Felipe Amorim,CENTRO-OESTE,44,Adulto,1,0.0,60.0,4.0,1.00000,0.00309750,0.003097500000
85014648856,Fábio Correia,SUDESTE,58,Adulto,1,0.0,289.0,4.0,0.00000,0.01819023,0.018190230000
95836793371,Júlia Costa,SUDESTE,41,Adulto,1,0.0,165.0,,1.00000,0.03016810,0.030168100000
15468777053,Henrique Bonfim,SUDESTE,61,Idoso,1,0.0,228.0,3.0,0.00000,0.04257840,0.042578400000
18036013335,Matheus Coelho,CENTRO-OESTE,59,Adulto,1,0.0,245.0,2.0,0.00000,0.03199444,0.031994440000
22939773097,Amanda Queiroz,NORDESTE,22,Jovem,1,0.0,286.0,2.0,0.00000,0.04920069,0.049200690000
25638918875,Isabela Xavier,SUDESTE,44,Adulto,8,259.375,1228.5,3.5,0.37500,5.78075710,0.722594637500
43775849781,Matheus Bonfim,SUDESTE,61,Idoso,6,326.3333333333333,939.1666666666666,2.8333333333333335,0.16667,1.02375542,0.170625903333
46410588244,Thiago Tavares,SUL,29,Jovem,2,194.5,969.0,2.0,0.50000,1.35198960,0.675994800000
47748899743,Rodrigo Pinheiro,NORDESTE,31,Adulto,3,455.3333333333333,1701.0,2.6666666666666665,0.33333,2.75037916,0.916793053333
50676468579,Estela Carvalho,SUL,23,Jovem,4,429.0,2646.75,3.0,0.50000,5.68946175,1.422365437500
51374732372,Estela Maia,SUL,28,Jovem,1,0.0,319.0,4.0,1.00000,0.00307941,0.003079410000
55939015478,Igor Dutra,NORDESTE,57,Adulto,1,0.0,92.0,3.0,1.00000,0.01037445,0.010374450000
57936286785,Joana Fernandes,SUL,76,Idoso,1,0.0,835.0,4.0,0.00000,0.10966578,0.109665780000
59881052528,Mariana Figueiredo,NORDESTE,47,Adulto,1,0.0,42.0,3.0,1.00000,0.00392310,0.003923100000
76277558226,Alessandra Queiroz,SUDESTE,50,Adulto,1,0.0,165.0,,1.00000,0.02128793,0.021287930000
78143365925,Arthur Macedo,SUL,52,Adulto,1,0.0,80.0,5.0,0.00000,0.00657761,0.006577610000
87343731770,Daniela Paiva,NORTE,33,Adulto,1,0.0,272.0,2.0,0.00000,0.01514558,0.015145580000
91791265468,Rafael Cavalcante,SUDESTE,53,Adulto,1,0.0,117.0,3.0,0.00000,0.01688092,0.016880920000
92401445347,Vinícius Santos,SUDESTE,29,Jovem,1,0.0,107.0,3.0,1.00000,0.01524505,0.015245050000
92786761228,Patrícia Maia,SUDESTE,22,Jovem,1,0.0,69.0,2.0,0.00000,0.00068534,0.000685340000
93995537141,Renato Pereira,SUDESTE,29,Jovem,1,0.0,688.0,2.0,1.00000,0.00470579,0.004705790000
10434992156,Vinícius Moraes,NORDESTE,39,Adulto,1,0.0,86.0,3.0,0.00000,0.00357911,0.003579110000
17185019220,Adriana Almeida,NORDESTE,21,Jovem,6,256.3333333333333,945.5,3.1666666666666665,0.50000,2.99458632,0.499097720000
18095155631,Elisa Dutra,SUL,37,Adulto,5,529.2,2043.0,3.0,0.60000,2.52268267,0.504536534000
29444922642,Débora Costa,SUL,41,Adulto,1,0.0,101.0,2.0,0.00000,0.01882554,0.018825540000
31992589626,Gabriela Barbosa,SUDESTE,21,Jovem,2,240.0,1101.5,3.0,0.00000,1.18528789,0.592643945000
33262807128,Thiago Xavier,NORTE,70,Idoso,2,24.0,887.0,3.5,0.50000,0.23455811,0.117279055000
37865735394,Felipe Figueiredo,SUDESTE,20,Jovem,1,0.0,510.0,3.0,1.00000,0.04026801,0.040268010000
51803338678,Eduarda Fernandes,NORDESTE,27,Jovem,1,0.0,214.0,3.0,0.00000,0.00935956,0.009359560000
57080413329,Beatriz Ribeiro,NORTE,52,Adulto,1,0.0,114.0,5.0,1.00000,0.00627138,0.006271380000
60029621208,Evelin Queiroz,NORTE,50,Adulto,1,0.0,113.0,4.0,0.00000,0.02215312,0.022153120000
63824791884,Gustavo Barreto,SUDESTE,27,Jovem,1,0.0,884.0,3.0,0.00000,0.06265696,0.062656960000
69447304797,Diogo Freitas,SUDESTE,60,Adulto,1,0.0,123.0,3.0,1.00000,0.01099088,0.010990880000
72420559176,Mariana Oliveira,SUDESTE,47,Adulto,1,0.0,567.0,2.0,0.00000,0.00040403,0.000404030000
79994294797,Natalia Silveira,SUDESTE,31,Adulto,1,0.0,379.0,2.0,1.00000,0.03270348,0.032703480000
81323729116,Ana Guimarães,NORTE,41,Adulto,1,0.0,58.0,4.0,0.00000,0.00789774,0.007897740000
81895832308,Otávio Rezende,SUDESTE,43,Adulto,1,0.0,595.0,2.0,1.00000,0.10475840,0.104758400000
88168050482,Rodrigo Barros,SUDESTE,51,Adulto,1,0.0,302.0,3.0,1.00000,0.04424045,0.044240450000
96631578607,Carla Cunha,NORDESTE,47,Adulto,2,204.0,506.0,,0.00000,0.47825877,0.239129385000
23412190963,Antônio Macedo,SUL,72,Idoso,3,369.6666666666667,1972.0,3.0,0.33333,2.94527783,0.981759276667
25548074491,Flávia Bonfim,NORDESTE,22,Jovem,6,301.0,2101.1666666666665,2.6666666666666665,0.33333,8.96236388,1.493727313333
29039340070,Fernando Cavalcante,SUDESTE,38,Adulto,1,0.0,832.0,3.0,1.00000,0.14913852,0.149138520000
37142979714,Gustavo Pontes,NORTE,46,Adulto,1,0.0,226.0,2.0,1.00000,0.02941157,0.029411570000
51235920632,Débora Teixeira,SUDESTE,27,Jovem,1,0.0,114.0,3.0,1.00000,0.00803779,0.008037790000
57258728745,João Azevedo,NORDESTE,75,Idoso,1,0.0,475.0,,0.00000,0.04198722,0.041987220000
61526319644,Bruno Mendes,SUDESTE,38,Adulto,1,0.0,510.0,2.0,0.00000,0.01003097,0.010030970000
68490173185,Helena Sales,NORTE,37,Adulto,1,0.0,429.0,3.0,0.00000,0.08500550,0.085005500000
70414737208,Eduarda Rodrigues,NORDESTE,58,Adulto,1,0.0,535.0,4.0,1.00000,0.04920432,0.049204320000
